Active Weekly Options Summary as of 08/20/2014, , , , , 

      ,Weekly Options Summary for 08/29/2014 Expiration,          ,,      ,Weekly Options Summary for 08/22/2014 Expiration,          
SYMBOL,OPTION NAME,EFFECTIVE DATE,,SYMBOL,OPTION NAME,EFFECTIVE DATE
COH   ,COACH INC.                                        ,04/30/2013,,COH   ,COACH INC.                                        ,04/30/2013
COP   ,CONOCOPHILLIPS                                    ,12/13/2011,,COP   ,CONOCOPHILLIPS                                    ,12/13/2011
COST  ,COSTCO COMPANIES                                  ,02/25/2013,,COST  ,COSTCO COMPANIES                                  ,02/25/2013
CREE  ,CREE RESEARCH  INC.                               ,06/19/2012,,CREE  ,CREE RESEARCH  INC.                               ,06/19/2012
CRM   ,SALESFORCE COM INC                                ,09/29/2011,,CRM   ,SALESFORCE COM INC                                ,09/29/2011
CRUS  ,CIRRUS LOGIC  INC.                                ,09/04/2013,,CRUS  ,CIRRUS LOGIC  INC.                                ,09/04/2013
CSCO  ,CISCO SYSTEMS  INC.                               ,07/29/2010,,CSCO  ,CISCO SYSTEMS  INC.                               ,07/29/2010
CSIQ  ,CANADIAN SOLAR INC                                ,06/09/2014,,CSIQ  ,CANADIAN SOLAR INC                                ,06/09/2014
CTRP  ,CTRIP.COM INTERNATIONAL  LTD ADR                  ,03/17/2014,,CTRP  ,CTRIP.COM INTERNATIONAL  LTD ADR                  ,03/17/2014
CTSH  ,COGNIZANT TECH. SOLUTIONS                         ,11/06/2013,,CTSH  ,COGNIZANT TECH. SOLUTIONS                         ,11/06/2013
CVS   ,CVS CAREMARK CORP                                 ,06/09/2014,,CVS   ,CVS CAREMARK CORP                                 ,06/09/2014
CVX   ,CHEVRON  CORP                                     ,10/06/2011,,CVX   ,CHEVRON  CORP                                     ,10/06/2011
CZR   ,CAESARS ENTERTAINMENT CORPORATION                 ,12/18/2013,,CZR   ,CAESARS ENTERTAINMENT CORPORATION                 ,12/18/2013
DAL   ,DELTA AIR LINES  INC.                             ,09/04/2013,,DAL   ,DELTA AIR LINES  INC.                             ,09/04/2013
DATA  ,TABLEAU SOFTWARE INC                              ,07/14/2014,,DATA  ,TABLEAU SOFTWARE INC                              ,07/14/2014
DD    ,DUPONT                                            ,09/04/2013,,DD    ,DUPONT                                            ,09/04/2013
DDD   ,3D SYSTEMS CORP                                   ,01/29/2013,,DDD   ,3D SYSTEMS CORP                                   ,01/29/2013
DE    ,DEERE & CO                                        ,12/13/2011,,DE    ,DEERE & CO                                        ,12/13/2011
DECK  ,DECKERS OUTDOORS CORPORATION                      ,02/25/2013,,DECK  ,DECKERS OUTDOORS CORPORATION                      ,02/25/2013
DFS   ,DISCOVER FINANCIAL SERVICES                       ,06/25/2014,,DFS   ,DISCOVER FINANCIAL SERVICES                       ,06/25/2014
DG    ,DOLLAR GENERAL CORPORATION                        ,12/11/2013,,DG    ,DOLLAR GENERAL CORPORATION                        ,12/11/2013
DHI   ,D.R. HORTON INC                                   ,12/18/2013,,DHI   ,D.R. HORTON INC                                   ,12/18/2013
